Name,SMILES,target
N-Carbamoyl-D-aspartic acid,C([C@H](C(=O)O)NC(=O)N)C(=O)O,1
Tocris-1260,CC[C@@H](C)[C@@H]1[C@H](CC[C@@]2(O1)C[C@@H]3C[C@@H](O2)C/C=C(\[C@@H]([C@H](/C=C\C=C4CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@@H]6C[C@@H]([C@@H]([C@@H](O6)C)O[C@@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)/C)C.C[C@H]1CC[C@]2(C[C@@H]3C[C@@H](O2)C/C=C(\[C@@H]([C@H](/C=C\C=C4CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@@H]6C[C@@H]([C@@H]([C@@H](O6)C)O[C@@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)/C)O[C@@H]1C(C)C,1
2-(2-Amino-9-propyl-purin-6-YL)sulfanylacetic acid,CCCN1C=NC2=C1N=C(N=C2SCC(=O)O)N,1
(S)-[2-(4-methoxyphenyl)quinolin-4-yl]-[(2S)-piperidin-2-yl]methanol,COC1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)[C@@H]([C@@H]4CCCCN4)O,1
6-[4-(Furan-2-yl)phenyl]-5-methylpiperidine-2-carboxylic acid,CC1CCC(NC1C2=CC=C(C=C2)C3=CC=CO3)C(=O)O,1
"2-(2,7-Diazaspiro[3.5]nonan-2-ylmethyl)-1,3-thiazole",C1CNCCC12CN(C2)CC3=NC=CS3,1
"6-(4-bromophenyl)-3-[(4-tert-butylphenoxy)methyl]-7-methyl-4,6,7,8,9,9a-hexahydro-3H-pyrido[2,1-c][1,4]oxazin-1-one",CC1CCC2C(=O)OC(CN2C1C3=CC=C(C=C3)Br)COC4=CC=C(C=C4)C(C)(C)C,1
R-(+)-Cotinine,CN1[C@H](CCC1=O)C2=CN=CC=C2,1
"(2R,3S,5R,6S)-3-(hydroxymethyl)-5-(6-methylsulfanylpurin-9-yl)-1,4-dioxane-2,6-diol",CSC1=NC=NC2=C1N=CN2[C@H]3[C@H](O[C@H]([C@@H](O3)CO)O)O,1
"Methyl 9-(propan-2-ylcarbamoyl)-3,9-diazaspiro[5.5]undecane-3-carboxylate",CC(C)NC(=O)N1CCC2(CC1)CCN(CC2)C(=O)OC,1
"N-[3-[(3-amino-3-oxoprop-1-en-2-yl)amino]-3-oxoprop-1-en-2-yl]-2-[(1R,8R,11Z,15R,18R,25R,26S,35S,37R,40R,46R,53S,59R)-37-[(2S)-butan-2-yl]-18-[(2S,3S)-2,3-dihydroxybutan-2-yl]-11-ethylidene-59-hydroxy-8,31-bis[(1S)-1-hydroxyethyl]-26,40,46-trimethyl-43-methylidene-6,9,16,23,28,38,41,44,47-nonaoxo-27-oxa-3,13,20,56-tetrathia-7,10,17,24,36,39,42,45,48,52,58,61,62,63,64-pentadecazanonacyclo[23.23.9.329,35.12,5.112,15.119,22.154,57.01,53.032,60]tetrahexaconta-2(64),4,12(63),19(62),21,29(61),30,32(60),33,51,54,57-dodecaen-51-yl]-1,3-thiazole-4-carboxamide",CC[C@H](C)[C@@H]1C(=O)N[C@@H](C(=O)NC(=C)C(=O)N[C@@H](C(=O)N[C@]23CCC(=N[C@@H]2C4=CSC(=N4)[C@@H]([C@@H](OC(=O)C5=NC6=C(C=C[C@@H]([C@H]6O)N1)C(=C5)[C@H](C)O)C)NC(=O)C7=CSC(=N7)[C@H](NC(=O)[C@@H]8CSC(=N8)/C(=C/C)/NC(=O)[C@H](NC(=O)C9=CSC3=N9)[C@H](C)O)[C@@](C)([C@H](C)O)O)C1=NC(=CS1)C(=O)NC(=C)C(=O)NC(=C)C(=O)N)C)C,1
"(2R)-1-[6-(4-bromophenyl)-3,4-dihydro-2H-1,5-naphthyridin-1-yl]-3-(2,3-dimethyl-6,7,8,9-tetrahydropyrido[3,2-b]azepin-5-yl)propan-2-ol",CC1=CC2=C(CCCCN2C[C@@H](CN3CCCC4=C3C=CC(=N4)C5=CC=C(C=C5)Br)O)N=C1C,1
2-Aminobenzenesulfonic acid,C1=CC=C(C(=C1)N)S(=O)(=O)O,1
"(8-Methyl-8-azabicyclo[3.2.1]oct-3-YL) 3,4-dimethoxybenzoate",CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C3=CC(=C(C=C3)OC)OC,1
"(1R,5R,6S)-rel-6-Hydroxy-8-methyl-8-azabicyclo[3.2.1]octan-3-one",CN1[C@@H]2C[C@@H]([C@H]1CC(=O)C2)O,1
"2,3,4,5,6,8-Hexachlorodecane",CCC(CC(C(C(C(C(C)Cl)Cl)Cl)Cl)Cl)Cl,1
Sodium Hypochlorite,[O-]Cl.[Na+],1
Diprophylline,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O,1
"1-((7-Oxo-7H-benz(de)anthracen-3-yl)amino)-9,10-anthracenedione",C1=CC=C2C(=C1)C3=C4C(=C(C=C3)NC5=CC=CC6=C5C(=O)C7=CC=CC=C7C6=O)C=CC=C4C2=O,1
Lopac-N-7505,C1C=CN(C=C1C(=O)N)[C@H]2[C@H]([C@H]([C@@H](O2)COP(=O)([O-])OP(=O)([O-])OC[C@H]3[C@H]([C@@H]([C@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)([O-])[O-])O)O)O.[Na+].[Na+].[Na+].[Na+],1
Tocris-0269,C[C@H](/C=C\C=C(/C)\[C@H]1CN[C@@H]([C@@H]1CC(=O)O)C(=O)O)C(=O)O,1
Benzoic Acid,C1=CC=C(C=C1)C(=O)O,1
"7-Methylsulfonyl-2-pyridin-4-yl-2,7-diazaspiro[3.5]nonane",CS(=O)(=O)N1CCC2(CC1)CN(C2)C3=CC=NC=C3,1
Amitriptyline Hydrochloride,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,1
"8-Cyclopropyl-6-(3,5-difluorophenyl)-2-phenoxypteridin-7-one",C1CC1N2C3=NC(=NC=C3N=C(C2=O)C4=CC(=CC(=C4)F)F)OC5=CC=CC=C5,1
"(2S)-4-amino-N-[(1S,2R,3R,4R,5R)-5-amino-2-[(2S,3S,4R,5S,6S)-4-amino-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-[(2R,3S,4R,5S,6S)-6-(aminomethyl)-3,4,5-trihydroxyoxan-2-yl]oxy-3-hydroxycyclohexyl]-2-hydroxybutanamide;hydrate",C1[C@H]([C@H]([C@H]([C@@H]([C@H]1NC(=O)[C@H](CCN)O)O[C@@H]2[C@H]([C@@H]([C@@H]([C@@H](O2)CO)O)N)O)O)O[C@@H]3[C@H]([C@@H]([C@@H]([C@@H](O3)CN)O)O)O)N.O,1
N-Nitrosopiperidine,C1CCN(CC1)N=O,1
