Name,SMILES,target
6-Bromo-3'-methylflavone,CC1=CC(=CC=C1)C2=CC(=O)C3=C(O2)C=CC(=C3)Br,0
8-Geranyloxypsoralen,CC(=CCC/C(=C/COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2)/C)C,0
Piperidolate Hydrochloride,CCN1CCCC(C1)OC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3.Cl,0
6-(3-methoxyphenyl)-N-(thiophen-2-ylmethyl)-4-quinazolinamine,COC1=CC=CC(=C1)C2=CC3=C(C=C2)N=CN=C3NCC4=CC=CS4,0
"2-(1,3-benzodioxol-5-yl)-N-(thiophen-2-ylmethyl)quinazolin-4-amine",C1OC2=C(O1)C=C(C=C2)C3=NC4=CC=CC=C4C(=N3)NCC5=CC=CS5,0
"methyl (2R,5R)-2-benzyl-5-methyl-5-(pyridin-2-ylmethylcarbamoyl)-2H-pyrrole-1-carboxylate",C[C@@]1(C=C[C@H](N1C(=O)OC)CC2=CC=CC=C2)C(=O)NCC3=CC=CC=N3,0
5-Aminosalicylic Acid,C1=CC(=C(C=C1N)C(=O)O)O,0
Tocris-1234,C[C@@H]1CC[C@@]2([C@@H](C[C@H]([C@H](O2)[C@H](C)C(=O)C3=CC=CN3)C)C)O[C@@H]1CC4=NC5=C(O4)C=CC(=C5C(=O)O)NC,0
N-(4-fluorophenyl)-5-(2-methylphenyl)pyrimidin-4-amine,CC1=CC=CC=C1C2=CN=CN=C2NC3=CC=C(C=C3)F,0
"2-(1,3-benzodioxol-5-yl)-N-(thiophen-2-ylmethyl)pyrimidin-4-amine",C1OC2=C(O1)C=C(C=C2)C3=NC=CC(=N3)NCC4=CC=CS4,0
Clebopride maleate,COC1=CC(=C(C=C1C(=O)NC2CCN(CC2)CC3=CC=CC=C3)Cl)N.C(=C\C(=O)O)\C(=O)O,0
Bis(2-chloro-4-methyl-6-quinolyl)methane,CC1=CC(=NC2=C1C=C(C=C2)CC3=CC4=C(C=C3)N=C(C=C4C)Cl)Cl,0
6-(2-methoxyphenyl)-N-methylquinazolin-4-amine,CNC1=NC=NC2=C1C=C(C=C2)C3=CC=CC=C3OC,0
